IN,OUT,No,R2,MSE,MAE
18,4,4,0.91651051,0.025429086,0.103396739
18,5,1,0.996951028,0.000931981,0.019543192
18,5,2,0.982882214,0.005227669,0.047295502
18,5,3,0.955271395,0.01364763,0.075911057
18,5,4,0.916618619,0.025418861,0.103324516
18,5,5,0.866949777,0.040524209,0.130770845
18,6,1,0.996955648,0.000931414,0.019528028
18,6,2,0.982901404,0.005226537,0.047269806
18,6,3,0.955317446,0.013645784,0.075886885
18,6,4,0.916679041,0.025422963,0.103312627
18,6,5,0.86706908,0.040524066,0.130763255
18,6,6,0.80955846,0.058004358,0.156270063
18,7,1,0.996959278,0.000931144,0.019517303
18,7,2,0.982927552,0.005223285,0.047230151
18,7,3,0.955379856,0.013639064,0.075826345
18,7,4,0.916806639,0.025406753,0.103231066
18,7,5,0.867200112,0.040520016,0.130702749
18,7,6,0.809741137,0.058000522,0.156226534
18,7,7,0.74958874,0.076269833,0.179895018
18,8,1,0.996960783,0.000931215,0.019512218
18,8,2,0.982931906,0.005224937,0.047229516
18,8,3,0.955379632,0.013646654,0.075858616
18,8,4,0.916802248,0.025421292,0.103288567
18,8,5,0.867189868,0.040543205,0.13077594
18,8,6,0.809724973,0.058033713,0.156313787
18,8,7,0.749574144,0.076312319,0.179972095
18,8,8,0.688922865,0.094707079,0.201789455
19,1,1,0.996949101,0.000929605,0.019531143
19,2,1,0.996949391,0.00092998,0.019532848
19,2,2,0.982840067,0.005226543,0.047377876
19,3,1,0.996952787,0.000929768,0.019521983
19,3,2,0.982862521,0.00522437,0.047343515
19,3,3,0.955291708,0.013617175,0.075942034
19,4,1,0.996955516,0.000929767,0.01952161
19,4,2,0.982878783,0.00522404,0.047329915
19,4,3,0.955341904,0.013614046,0.075901442
19,4,4,0.916602009,0.025401217,0.103452591
19,5,1,0.996959026,0.000929536,0.019510847
19,5,2,0.982897036,0.005223143,0.047307274
19,5,3,0.955391167,0.013611086,0.075862755
19,5,4,0.916723376,0.025386926,0.103374552
19,5,5,0.866398537,0.040692105,0.130921759
19,6,1,0.996963708,0.000928948,0.019495342
19,6,2,0.982908697,0.005224308,0.047290617
19,6,3,0.955423799,0.013613304,0.075844235
19,6,4,0.91680345,0.025385003,0.103345079
19,6,5,0.866518412,0.040691937,0.130912111
19,6,6,0.808884687,0.058209575,0.156323583
19,7,1,0.996964415,0.000929262,0.019495343
19,7,2,0.982918351,0.005224237,0.047275822
19,7,3,0.955442919,0.013614533,0.075826355
19,7,4,0.916826079,0.025390663,0.10333298
19,7,5,0.866532868,0.040707356,0.130919913
19,7,6,0.808882047,0.05823941,0.156368405
19,7,7,0.749296215,0.076326482,0.179787676
19,8,1,0.996968429,0.000928872,0.019482382
19,8,2,0.982937842,0.00522312,0.047253976
19,8,3,0.955516582,0.01360477,0.075805889
19,8,4,0.916859803,0.025403706,0.103359727
19,8,5,0.866633977,0.040712903,0.13093609
19,8,6,0.809050622,0.05823939,0.156367049
19,8,7,0.749506924,0.076332802,0.179780546
19,8,8,0.688647613,0.09479088,0.201604037
20,1,1,0.996945882,0.000930218,0.019548275
20,2,1,0.996949119,0.000930063,0.019539141
20,2,2,0.982833821,0.005228445,0.047361148
20,3,1,0.996952509,0.000929853,0.019528242
20,3,2,0.982855928,0.00522638,0.04732798
20,3,3,0.955237437,0.013633705,0.075993707
20,4,1,0.996955237,0.000929852,0.019527966
20,4,2,0.982872112,0.005226076,0.047315073
20,4,3,0.955287597,0.013630601,0.075953727
20,4,4,0.916417005,0.025457565,0.103538295
20,5,1,0.996958735,0.000929625,0.019517053
20,5,2,0.982890348,0.005225185,0.047293855
20,5,3,0.95533691,0.01362764,0.075916552
20,5,4,0.916479424,0.025461295,0.103496155
20,5,5,0.866550837,0.040645717,0.130966237
20,6,1,0.996960621,0.000929561,0.019509751
20,6,2,0.982895058,0.00522646,0.047289584
20,6,3,0.955341981,0.01363284,0.075921419
20,6,4,0.916478332,0.025474034,0.10352299
20,6,5,0.8665415,0.040668834,0.131031952
20,6,6,0.808180911,0.058399103,0.15664399
20,7,1,0.996964163,0.00092934,0.019501067
20,7,2,0.982909502,0.005226943,0.047269588
20,7,3,0.955414277,0.013623285,0.075864227
20,7,4,0.916585229,0.025464188,0.103451659
20,7,5,0.866690621,0.040659242,0.130958258
20,7,6,0.808374012,0.058394223,0.156594044
20,7,7,0.74869854,0.076508444,0.1798109
20,8,1,0.996968181,0.000928948,0.019487892
20,8,2,0.982929104,0.005225795,0.047246758
20,8,3,0.955456075,0.013623275,0.075856574
20,8,4,0.916690355,0.025455481,0.103434462
20,8,5,0.86680993,0.04065919,0.13095492
20,8,6,0.808543147,0.058394169,0.156589006
20,8,7,0.748842253,0.076535348,0.179843848
20,8,8,0.688221878,0.094920494,0.201537
21,1,1,0.996940209,0.000931946,0.019563155
21,2,1,0.996943437,0.000931795,0.019554202
21,2,2,0.982800849,0.005238488,0.047376594
21,3,1,0.996946787,0.000931599,0.019543706
21,3,2,0.982822842,0.005236466,0.047343913
21,3,3,0.955284702,0.013619309,0.075943022
21,4,1,0.996949519,0.000931598,0.019543599
21,4,2,0.982839052,0.005236163,0.047331701
21,4,3,0.955334306,0.013616362,0.075905707
21,4,4,0.916468305,0.025441941,0.103415343
21,5,1,0.996950091,0.000931908,0.01954346
21,5,2,0.982840542,0.005238301,0.047336613
21,5,3,0.955340238,0.013621188,0.075907935
21,5,4,0.916492864,0.025447145,0.103401349
21,5,5,0.86594604,0.040812575,0.131115661
21,6,1,0.996954974,0.000931288,0.019525235
21,6,2,0.982862177,0.005236507,0.047305932
21,6,3,0.955389026,0.013618478,0.075872859
21,6,4,0.916570001,0.025446075,0.103364783
21,6,5,0.866070775,0.040812278,0.13110552
21,6,6,0.807887512,0.058488428,0.156504696
21,7,1,0.996958504,0.000931072,0.019516604
21,7,2,0.982888842,0.005233262,0.047267282
21,7,3,0.955453211,0.013611388,0.075814057
21,7,4,0.916675458,0.025436644,0.103294118
21,7,5,0.866219481,0.040802939,0.131033629
21,7,6,0.808080338,0.058483715,0.156454233
21,7,7,0.748816213,0.076472618,0.179561823
21,8,1,0.996962539,0.000930677,0.019503604
21,8,2,0.982908395,0.005232135,0.047244525
21,8,3,0.955492382,0.013612171,0.075808586
21,8,4,0.916753438,0.025436206,0.103295243
