IN,OUT,No,R2,MSE,MAE
17,5,1,0.996911248,0.000944141,0.019566712
17,5,2,0.982555619,0.005327409,0.047743776
17,5,3,0.953905587,0.014064367,0.077068909
17,5,4,0.913515576,0.026364825,0.105251311
17,5,5,0.861618491,0.042148003,0.133373058
17,6,1,0.996913814,0.000944213,0.019556256
17,6,2,0.982576769,0.005325769,0.047736953
17,6,3,0.953948053,0.014063988,0.077055927
17,6,4,0.913577568,0.026369287,0.105268884
17,6,5,0.861761152,0.042142191,0.133371715
17,6,6,0.802415055,0.060180084,0.159343545
17,7,1,0.996918922,0.000943502,0.019539771
17,7,2,0.982597679,0.005324209,0.047699607
17,7,3,0.953993955,0.014062693,0.077029355
17,7,4,0.913686975,0.02635948,0.105210014
17,7,5,0.861866847,0.042147306,0.133357534
17,7,6,0.802583427,0.060182553,0.159342383
17,7,7,0.739006581,0.079492928,0.183497701
17,8,1,0.996922658,0.000943191,0.019534887
17,8,2,0.982621631,0.005321682,0.047671524
17,8,3,0.954047724,0.014059018,0.077012835
17,8,4,0.913750142,0.026364041,0.105237127
17,8,5,0.861998743,0.042144755,0.133375368
17,8,6,0.802777186,0.060176795,0.15935334
17,8,7,0.739258864,0.079487082,0.183486869
17,8,8,0.673631973,0.099404615,0.206327196
18,1,1,0.996939012,0.000932679,0.019464054
18,2,1,0.99694366,0.000932099,0.019449238
18,2,2,0.982573406,0.005309858,0.047680572
18,3,1,0.996944079,0.000932425,0.019449489
18,3,2,0.982579563,0.00531063,0.047671845
18,3,3,0.954010475,0.014007411,0.076888857
18,4,1,0.996947557,0.000932198,0.01944641
18,4,2,0.982589036,0.005312448,0.047678464
18,4,3,0.954056516,0.014005897,0.076862551
18,4,4,0.913461181,0.026357845,0.105214688
18,5,1,0.996949646,0.000932403,0.019447255
18,5,2,0.982608938,0.005311126,0.047666263
18,5,3,0.954084349,0.014009823,0.076860966
18,5,4,0.913587388,0.026342933,0.105140284
18,5,5,0.8617851,0.042097257,0.13320679
18,6,1,0.996952729,0.000932307,0.019439315
18,6,2,0.982638169,0.005307,0.047638814
18,6,3,0.954132421,0.014007683,0.076844958
18,6,4,0.913663424,0.02634309,0.105155422
18,6,5,0.861921877,0.042093194,0.133217608
18,6,6,0.803030715,0.059992567,0.158929254
18,7,1,0.996957072,0.000931819,0.019427941
18,7,2,0.982643455,0.005310204,0.047636267
18,7,3,0.954197574,0.014000453,0.076796437
18,7,4,0.913778409,0.026331556,0.105108776
18,7,5,0.862050256,0.042091344,0.133203372
18,7,6,0.803209809,0.059991601,0.158935033
18,7,7,0.739641051,0.079299683,0.183017414
18,8,1,0.996958609,0.000931881,0.019422639
18,8,2,0.982648602,0.005311663,0.047633456
18,8,3,0.954198433,0.014007911,0.076822568
18,8,4,0.913774544,0.026346415,0.10515787
18,8,5,0.86204021,0.042115251,0.133269285
18,8,6,0.803194615,0.060025467,0.159009543
18,8,7,0.739629676,0.079342698,0.183085293
18,8,8,0.674397512,0.099129307,0.205776197
19,1,1,0.996946784,0.000930311,0.019457279
19,2,1,0.996947075,0.000930686,0.019458939
19,2,2,0.982638373,0.005287975,0.047623808
19,3,1,0.996952446,0.000929872,0.019439497
19,3,2,0.98266236,0.005285389,0.047581461
19,3,3,0.953994195,0.014012369,0.076914927
19,4,1,0.996953789,0.000930295,0.01944153
19,4,2,0.982680629,0.005284501,0.047571672
19,4,3,0.954048388,0.014008375,0.076884683
19,4,4,0.913484942,0.026350608,0.105183329
19,5,1,0.996954323,0.000930974,0.01944681
19,5,2,0.982697146,0.005284188,0.047560613
