时间,汕尾风速,风速1,风速2,风速3,风速4,汕尾风向,风向1,风向2,风向3,风向4,汕尾波高,波高1,波高2,波高3,波高4,波浪方向,方向1,方向2,方向3,方向4,波浪周期,周期1,周期2,周期3,周期4,横向风速,纵向风速,前一小时潮水位,该时刻潮水位,后一小时潮水位
1993/10/25 0:00,5.424516322000001,5.424516322000001,5.424516322000001,5.424516322000001,5.424516322000001,71.67418057,75.88124395,73.09056404,72.40937446,67.94318792,1.121976823,1.087042805,0.780156464,1.3345100090000002,1.148318791,89.19182891,92.65808822,96.24531248,85.90114207,86.19778849,5.6941904679999995,5.662973615,5.36163519,5.902067165,5.717346344,5.149405931375516,1.705577873202823,1560,1440,1260
1993/10/25 3:00,5.734537549,5.734537549,5.734537549,5.734537549,5.734537549,80.16526053,86.73632957,88.74144407,77.11727344,74.40899549999999,1.109347125,1.083666718,0.7941672259999999,1.308007723,1.127724658,90.78982427,93.97102329,97.74502492,87.45029558,88.04908186,5.639222771,5.596151911000001,5.257100415,5.87515541,5.672310346000001,5.650265745667025,0.9794988025683248,1100,1030,1060
1993/10/25 6:00,4.815816107,4.815816107,4.815816107,4.815816107,4.815816107,88.09385545,95.11386276,100.629301,82.61073782,81.98448288,1.086861756,1.065435846,0.7837013559999999,1.27931098,1.1015599809999999,92.87624354,95.87725119,100.13467659999999,89.26313479,90.30139725,5.646356582,5.612994642,5.286758267,5.871310873,5.6710288339999995,4.8131512970496715,0.16018541803079894,1130,1160,1140
1993/10/25 9:00,5.082568789,5.082568789,5.082568789,5.082568789,5.082568789,90.37635970000001,96.58611121,101.173154,85.72003866,84.96743404,1.0665040129999999,1.047373779,0.765976897,1.258210434,1.079109,94.97258413,97.76150528,102.5298217,91.075974,92.5921668,5.642816735,5.624345178,5.33380807,5.840188436,5.654918396,5.082459137981369,-0.033385710515136634,1250,1430,1570
1993/10/25 12:00,5.294290603,5.294290603,5.294290603,5.294290603,5.294290603,87.00212881,92.66927111,94.98751308,83.97861045,82.05040445,1.0539187209999998,1.043828887,0.755848635,1.247575759,1.058514867,96.74069055,99.31615224,104.4745038,92.63611441,94.55882267,5.597561187999999,5.575647717000001,5.320443729,5.772634439,5.612994642,5.287045252981903,0.27688532271616134,1630,1540,1420
1993/10/25 15:00,5.253962639,5.253962639,5.253962639,5.253962639,5.253962639,85.2072234,90.66415661,92.21331356,82.74807443,80.42983246,1.048859808,1.054463562,0.752641352,1.247406955,1.039608778,98.1550037,100.5686593,106.17198049999999,93.79523282,96.12445653,5.532493646,5.50113694,5.27247856,5.692265321,5.556791181,5.235591637296709,0.4389802039689373,1290,1220,1270
1993/10/25 18:00,4.83892067,4.83892067,4.83892067,4.83892067,4.83892067,86.99050568,91.54860437,92.56489528,85.12125104,82.99528033,1.0302427440000002,1.055645193,0.74639559,1.2285008659999999,1.003484643,99.97662774,101.98597,108.0067935,95.44876192,98.30535704,5.5255147970000005,5.476605136,5.261311098,5.681280931,5.565212547000001,4.8322470657938865,0.254050281794022,1450,1590,1510
1993/10/25 21:00,4.411276213,4.411276213,4.411276213,4.411276213,4.411276213,84.5530833,89.21937547,88.20308456,84.00058431,80.43532593,1.005564898,1.0455169309999999,0.7376177629999999,1.1991289059999999,0.966010073,102.0925903,103.5680842,109.89654109999998,97.49781957,100.8982665,5.538576593999999,5.476605136,5.263874122,5.695743711,5.590110497,4.391357404778145,0.41873377088523456,1480,1560,1630
1993/10/26 0:00,5.015775598,5.015775598,5.015775598,5.015775598,5.015775598,90.05598403,94.52606207,94.85017647,88.66453557,86.13204849,0.981215107,1.024416385,0.730190371,1.164861619,0.939001374,103.86430779999999,104.9853949,111.5061226,99.23375045,102.98577829999999,5.532076147000001,5.474774405,5.252706658999999,5.694462199,5.5791261070000004,5.015773203630792,-0.004900941906295885,1530,1440,1330
1993/10/26 3:00,4.962004979,4.962004979,4.962004979,4.962004979,4.962004979,108.2788413,110.57796499999999,115.4232006,104.4527522,106.3370105,0.96814964,1.015976166,0.74099385,1.13785292,0.9221209370000001,106.01847679999999,106.69935190000001,113.1926124,101.51902659999999,105.52924660000001,5.460569686,5.385617775,5.117781739,5.657847567,5.5225565,4.711628990098782,-1.5562922833714492,1140,940,900
