IN,OUT,No,R2,MSE,MAE
34,3,1,0.988863098,0.002802249,0.039505089
34,3,2,0.966622826,0.008384838,0.065964664
34,3,3,0.914770608,0.021372182,0.106339496
34,4,1,0.983034473,0.004275975,0.047217919
34,4,2,0.956214623,0.011017204,0.077033794
34,4,3,0.90627286,0.023545637,0.111652196
34,4,4,0.830892028,0.042405633,0.148633178
34,5,1,0.97859817,0.005404031,0.054278466
34,5,2,0.959664056,0.010166231,0.075950075
34,5,3,0.918167214,0.020590629,0.10534525
34,5,4,0.853686293,0.036756157,0.139456088
34,5,5,0.783738862,0.054229794,0.169654578
34,6,1,0.975735995,0.006139108,0.047245635
34,6,2,0.957127701,0.010825393,0.070908878
34,6,3,0.903586721,0.024299906,0.109246462
34,6,4,0.820044216,0.045280175,0.151678889
34,6,5,0.741424947,0.06495786,0.180835847
34,6,6,0.622301411,0.094711962,0.217729889
34,7,1,0.970779986,0.007397808,0.05924383
34,7,2,0.942503159,0.014523354,0.08556029
34,7,3,0.891303254,0.027398642,0.117101742
34,7,4,0.813599457,0.046899139,0.153847822
34,7,5,0.728375259,0.068228912,0.185097101
34,7,6,0.62465382,0.094118518,0.217575258
34,7,7,0.542538386,0.114509462,0.238596539
34,8,1,0.967828808,0.008163352,0.060125112
34,8,2,0.94690763,0.013441717,0.081450651
34,8,3,0.892232678,0.027221373,0.116775513
34,8,4,0.822874673,0.04464709,0.150503637
34,8,5,0.722978125,0.069699836,0.188142542
34,8,6,0.623052252,0.094684801,0.218650924
34,8,7,0.513056487,0.122101686,0.247341977
34,8,8,0.404651177,0.149024686,0.272597332
35,1,1,0.993838791,0.001544989,0.02931188
35,2,1,0.986578295,0.00337173,0.044690271
35,2,2,0.963134705,0.009244367,0.071608395
35,3,1,0.990306152,0.00243915,0.034045026
35,3,2,0.96116117,0.009756886,0.072642955
35,3,3,0.912901173,0.021840963,0.10698896
35,4,1,0.96865157,0.007901027,0.069261312
35,4,2,0.939285392,0.015276909,0.092244773
35,4,3,0.880119265,0.030115805,0.127302575
35,4,4,0.809396823,0.047795786,0.158107417
35,5,1,0.979350959,0.005213949,0.051245058
35,5,2,0.94956108,0.012712575,0.079714398
35,5,3,0.893719978,0.026742002,0.118203537
35,5,4,0.803275628,0.049420058,0.16108925
35,5,5,0.711464784,0.072353292,0.1941231
35,6,1,0.952658885,0.011958079,0.084891297
35,6,2,0.928306556,0.018071406,0.099479986
35,6,3,0.866709602,0.033536409,0.137896994
35,6,4,0.768332305,0.058192176,0.178744297
35,6,5,0.66883247,0.083040667,0.209396659
35,6,6,0.587409681,0.103277508,0.229780633
35,7,1,0.973309735,0.006757336,0.063286561
35,7,2,0.955289705,0.01129355,0.081394536
35,7,3,0.913033722,0.021921152,0.112409936
35,7,4,0.859593153,0.035326937,0.136340576
35,7,5,0.777691074,0.055841364,0.169529414
35,7,6,0.694525944,0.076597996,0.200583106
35,7,7,0.589270888,0.10281162,0.22811615
35,8,1,0.978593464,0.00543185,0.050589646
35,8,2,0.958124295,0.010601926,0.072774375
35,8,3,0.915268462,0.021402674,0.104762404
35,8,4,0.847245906,0.038503956,0.141066618
35,8,5,0.746201402,0.063856765,0.181114979
35,8,6,0.684208234,0.079323144,0.200856649
35,8,7,0.566947883,0.108588353,0.232264103
35,8,8,0.476523282,0.131034027,0.253153864
36,1,1,0.992025769,0.001999624,0.031659468
36,2,1,0.990698472,0.002336681,0.032971072
36,2,2,0.966278346,0.008456066,0.065813236
36,3,1,0.986423595,0.003416072,0.040511901
36,3,2,0.960172234,0.010005321,0.072172578
36,3,3,0.911146571,0.022280948,0.109025793
36,4,1,0.983247387,0.004222312,0.043850984
36,4,2,0.95811508,0.010539014,0.073072196
36,4,3,0.909917248,0.022630113,0.108427163
36,4,4,0.844030094,0.039111122,0.142463085
36,5,1,0.982998437,0.004285498,0.047465922
36,5,2,0.962293043,0.009487225,0.070912206
36,5,3,0.911309734,0.022277942,0.108320827
36,5,4,0.843865818,0.039150839,0.142887762
36,5,5,0.768614109,0.057919338,0.172747728
36,6,1,0.977179306,0.005764369,0.050484576
36,6,2,0.95081792,0.012397079,0.081451247
36,6,3,0.907316691,0.0233195,0.112787863
36,6,4,0.837164901,0.040902244,0.14925059
36,6,5,0.767931123,0.058191557,0.176367196
36,6,6,0.679997324,0.080101441,0.205208102
36,7,1,0.976226965,0.006018764,0.051031181
36,7,2,0.95267289,0.011954542,0.075266617
36,7,3,0.900257382,0.02514162,0.111600603
36,7,4,0.833002545,0.042017242,0.145219184
36,7,5,0.752129434,0.062262145,0.17792517
36,7,6,0.651544461,0.087375656,0.210310491
36,7,7,0.555752294,0.111201824,0.235676793
36,8,1,0.921990775,0.019794628,0.111936845
36,8,2,0.913251187,0.021962723,0.105527711
36,8,3,0.836922005,0.041192514,0.151826799
36,8,4,0.78999515,0.052934866,0.163559133
36,8,5,0.722133024,0.069912467,0.185515573
36,8,6,0.578121868,0.105970781,0.231144188
36,8,7,0.515492234,0.12149092,0.244894381
36,8,8,0.426717717,0.143501102,0.265879975
37,1,1,0.991908658,0.002028991,0.035061393
37,2,1,0.983808566,0.004067527,0.048759791
37,2,2,0.956579457,0.010888166,0.074578695
37,3,1,0.989947815,0.002529314,0.032602386
37,3,2,0.966075125,0.008522428,0.065900292
37,3,3,0.918978582,0.020316987,0.103665524
37,4,1,0.966011973,0.008551526,0.066508612
37,4,2,0.942810757,0.014365259,0.085431725
37,4,3,0.875317284,0.031264345,0.128567152
37,4,4,0.7801747,0.05502555,0.170488073
37,5,1,0.946552326,0.013472286,0.090218641
37,5,2,0.923183926,0.019327238,0.104389325
37,5,3,0.877667382,0.030728502,0.126425107
37,5,4,0.790007377,0.052655909,0.165224567
37,5,5,0.717626469,0.070682305,0.188809986
37,6,1,0.978240742,0.005496257,0.049121146
37,6,2,0.947105298,0.013332901,0.081724461
37,6,3,0.882063847,0.029673218,0.124085089
37,6,4,0.80322577,0.049427351,0.159508368
37,6,5,0.709603694,0.072817232,0.192809625
37,6,6,0.601064872,0.09985941,0.225193087
37,7,1,0.980508913,0.004934677,0.047121484
37,7,2,0.957540011,0.010725136,0.072158264
37,7,3,0.912492592,0.022057552,0.10455858
37,7,4,0.845902739,0.038771501,0.139483217
37,7,5,0.768126687,0.058243825,0.172002805
37,7,6,0.686828958,0.078528025,0.201197192
37,7,7,0.610634556,0.097463976,0.224321687
37,8,1,0.97232843,0.007021585,0.059456479
37,8,2,0.949382972,0.01281502,0.076777734
37,8,3,0.912060156,0.022213072,0.106469834
37,8,4,0.846639235,0.038656876,0.140730115
37,8,5,0.74814717,0.063367202,0.179333336
37,8,6,0.661956204,0.08491259,0.207756734
37,8,7,0.597354076,0.100963962,0.22698616
37,8,8,0.463533551,0.13428555,0.257720625
38,1,1,0.992976518,0.001761213,0.031282344
38,2,1,0.992792236,0.001810696,0.029351675
38,2,2,0.966205035,0.008474449,0.066744364
38,3,1,0.984809834,0.003815589,0.040884362
38,3,2,0.961518373,0.009649315,0.071008228
38,3,3,0.9073705,0.023186545,0.110304673
38,4,1,0.988913885,0.002789312,0.036754844
38,4,2,0.963814163,0.009089453,0.067664886
38,4,3,0.902484629,0.0244521,0.113379703
38,4,4,0.829695777,0.042629686,0.148944637
38,5,1,0.976933761,0.005814191,0.05267281
38,5,2,0.95864124,0.010406033,0.07297057
38,5,3,0.91155742,0.022215727,0.105713192
38,5,4,0.837634574,0.040713331,0.143936692
38,5,5,0.763101905,0.059299125,0.174415965
38,6,1,0.979305618,0.005227276,0.048423549
38,6,2,0.959233457,0.010275817,0.072790533
38,6,3,0.915021135,0.02138103,0.106096719
38,6,4,0.849663178,0.037762826,0.140772746
38,6,5,0.765320551,0.058846161,0.17510926
